LocalAuthorityCode,LocalAuthorityName,SiteCode,SiteName,SiteType,DateClosed,DateOpened,Latitude,Longitude,LatitudeWGS84,LongitudeWGS84,DataOwner,DataManager,SiteLink,SpeciesCode,SpeciesDescription,DateMeasurementStarted,DateMeasurementFinished
23,Lewisham,LW4,Lewisham - Loampit Vale,Roadside,,2012/7/10 0:00,51.46469106,-0.016068243,6703907.502,-1788.708651,Lewisham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=LW4,PM10,PM10 Particulate,2016/5/5 11:00,
23,Lewisham,LW3,Lewisham - Mercury Way,Industrial,2016/2/3 0:00,2010/1/1 0:00,51.48114122,-0.045670857,6706847.41,-5084.056508,Lewisham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=LW3,PM10,PM10 Particulate,2015/1/1 0:00,2016/2/3 0:00
23,Lewisham,LW2,Lewisham - New Cross,Roadside,,2002/3/31 13:45,51.474954,-0.039641,6705741.53,-4412.815935,Lewisham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=LW2,NO2,Nitrogen Dioxide,2002/4/1 0:00,
23,Lewisham,LW2,Lewisham - New Cross,Roadside,,2002/3/31 13:45,51.474954,-0.039641,6705741.53,-4412.815935,Lewisham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=LW2,PM10,PM10 Particulate,2012/4/11 12:00,
23,Lewisham,HP1,Lewisham - Honor Oak Park,Urban Background,,2018/11/27 0:00,51.4496729,-0.037415359,,,Lewisham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=HP1,PM25,PM2.5 Particulate,2017/7/20 15:00,
23,Lewisham,LW2,Lewisham - New Cross,Roadside,,2002/3/31 13:45,51.474954,-0.039641,6705741.53,-4412.815935,Lewisham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=LW2,SO2,Sulphur Dioxide,2002/4/1 0:00,2016/10/14 0:00
27,Richmond,TD5,London Teddington Bushy Park ,Suburban,,2004/11/15 0:00,51.42525604,-0.345608291,6696694.238,-38484.77061,Richmond,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=TD5,PM10,PM10 Particulate,2004/11/15 0:00,
23,Lewisham,LW2,Lewisham - New Cross,Roadside,,2002/3/31 13:45,51.474954,-0.039641,6705741.53,-4412.815935,Lewisham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=LW2,PM25,PM2.5 Particulate,2012/4/11 12:00,
33,Westminster,MR8,Marylebone Road - BAM,Kerbside,,2012/1/11 0:00,51.52250936,-0.154622155,6714250.735,-17208.88008,Westminster,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=MR8,NO2,Nitrogen Dioxide,2019/2/1 16:00,
33,Westminster,MR8,Marylebone Road - BAM,Kerbside,,2012/1/11 0:00,51.52250936,-0.154622155,6714250.735,-17208.88008,Westminster,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=MR8,PM10,PM10 Particulate,2019/5/1 14:00,
25,Newham,TL6,Newham - Britannia Gate,Roadside,,2020/12/4 0:00,51.503858,0.020574415,6709055.391,-16687.45959,Newham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=TL6,PM25,PM2.5 Particulate,2021/9/2 0:00,
24,Merton,ME2,Merton - Merton Road,Roadside,,2011/6/29 0:00,51.41613848,-0.192230805,6695236.549,-21399.03533,Merton,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=ME2,PM10,PM10 Particulate,2011/6/29 0:00,
24,Merton,ME1,Merton - Morden Civic Centre,Roadside,2017/1/27 0:00,2010/1/13 0:00,51.40105,-0.195929,6692543.79,-21810.71651,Merton,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=ME1,NO2,Nitrogen Dioxide,2009/1/13 0:00,2017/1/27 0:00
24,Merton,ME9,Merton - Morden Civic Centre 2,Roadside,,2017/1/27 0:00,51.40162,-0.19589212,6692543.79,-21810.71651,Merton,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=ME9,NO2,Nitrogen Dioxide,2017/2/28 11:15,
24,Merton,ME7,Merton - Willow Lane Industrial Estate,Industrial,2016/4/1 0:00,2015/8/5 0:00,51.39434156,-0.165161045,6691346.857,-18385.64338,Merton,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=ME7,NO2,Nitrogen Dioxide,2015/8/4 14:15,2016/4/1 0:00
24,Merton,ME7,Merton - Willow Lane Industrial Estate,Industrial,2016/4/1 0:00,2015/8/5 0:00,51.39434156,-0.165161045,6691346.857,-18385.64338,Merton,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=ME7,O3,Ozone,2015/8/4 0:00,2016/4/1 0:00
24,Merton,ME7,Merton - Willow Lane Industrial Estate,Industrial,2016/4/1 0:00,2015/8/5 0:00,51.39434156,-0.165161045,6691346.857,-18385.64338,Merton,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=ME7,PM10,PM10 Particulate,2015/8/5 0:00,2016/4/1 0:00
25,Newham,TL6,Newham - Britannia Gate,Roadside,,2020/12/4 0:00,51.503858,0.020574415,6709055.391,-16687.45959,Newham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=TL6,NO2,Nitrogen Dioxide,2021/8/16 12:00,
25,Newham,NM2,Newham - Cam Road,Roadside,,1998/8/18 0:00,51.537598,-0.002138,6716945.219,-238.0010713,Newham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=NM2,PM25,PM2.5 Particulate,2021/4/1 0:00,
25,Newham,NM2,Newham - Cam Road,Roadside,,1998/8/18 0:00,51.537598,-0.002138,6716945.219,-238.0010713,Newham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=NM2,CO,Carbon Monoxide,2009/4/1 0:00,2015/11/9 0:00
25,Newham,NM2,Newham - Cam Road,Roadside,,1998/8/18 0:00,51.537598,-0.002138,6716945.219,-238.0010713,Newham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=NM2,NO2,Nitrogen Dioxide,2009/1/1 0:00,
25,Newham,NM2,Newham - Cam Road,Roadside,,1998/8/18 0:00,51.537598,-0.002138,6716945.219,-238.0010713,Newham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=NM2,O3,Ozone,2009/1/1 0:00,2016/3/31 0:00
25,Newham,NM2,Newham - Cam Road,Roadside,,1998/8/18 0:00,51.537598,-0.002138,6716945.219,-238.0010713,Newham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=NM2,PM10,PM10 Particulate,2010/11/18 14:00,
25,Newham,NM4,Newham - East Ham Town Hall,Roadside,,2022/12/19 0:00,51.5330166,0.055000206,6716125.328,6122.59497,Newham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=NM4,PM25,PM2.5 Particulate,2022/11/30 10:00,
25,Newham,NM2,Newham - Cam Road,Roadside,,1998/8/18 0:00,51.537598,-0.002138,6716945.219,-238.0010713,Newham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=NM2,SO2,Sulphur Dioxide,2009/1/1 0:00,2016/3/31 0:00
25,Newham,NM4,Newham - East Ham Town Hall,Roadside,,2022/12/19 0:00,51.5330166,0.055000206,6716125.328,6122.59497,Newham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=NM4,NO2,Nitrogen Dioxide,2023/9/12 14:15,
25,Newham,NM3,Newham - Wren Close,Urban Background,,2003/3/21 0:00,51.514727,0.014554,6712853.025,1620.143869,Newham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=NM3,PM25,PM2.5 Particulate,2021/4/1 0:00,
25,Newham,TL5,Newham - Hoola Tower,Roadside,,2021/3/8 0:00,51.508198,0.015002152,6709055.391,-16687.45959,Newham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=TL5,NO2,Nitrogen Dioxide,2021/8/16 12:00,
25,Newham,NM1,Newham - Tant Avenue,Urban Background,2003/12/31 0:00,1998/1/1 0:00,51.514764,0.011989,6712859.643,1334.609375,Newham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=NM1,CO,Carbon Monoxide,2003/12/31 0:00,2003/12/31 0:00
25,Newham,NM1,Newham - Tant Avenue,Urban Background,2003/12/31 0:00,1998/1/1 0:00,51.514764,0.011989,6712859.643,1334.609375,Newham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=NM1,NO2,Nitrogen Dioxide,2003/12/31 0:00,2003/12/31 0:00
25,Newham,NM1,Newham - Tant Avenue,Urban Background,2003/12/31 0:00,1998/1/1 0:00,51.514764,0.011989,6712859.643,1334.609375,Newham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=NM1,O3,Ozone,1998/1/1 0:00,2003/3/14 0:00
25,Newham,NM1,Newham - Tant Avenue,Urban Background,2003/12/31 0:00,1998/1/1 0:00,51.514764,0.011989,6712859.643,1334.609375,Newham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=NM1,PM10,PM10 Particulate,2003/12/13 0:00,2003/12/31 0:00
